word,count
，,79423
的,70481
。,37116
 ,36776
是,20139
了,19767
我,15101
在,9100
有,8246
",",7718
？,7647
你,7584
也,7559
不,7315
！,7303
都,6611
就,6178
很,6045
.,5601
和,5389
人,5244
一个,5080
这个,4326
这,4229
可以,4028
看,4006
说,3772
没有,3661
好,3519
“,3465
：,3410
”,3348
就是,3261
会,3148
对,3113
自己,3015
啊,2876
不是,2871
阮,2837
上,2776
、,2750
用,2723
-,2617
什么,2587
文章,2562
我们,2518
要,2477
还是,2472
现在,2442
能,2432
如果,2427
问题,2419
还,2380
到,2328
老师,2326
中国,2319
他,2303
吧,2283
/,2258
做,2244
多,2215
中,2209
想,2174
觉得,2160
~,2152
"""",2140
呢,2091
这样,2029
知道,2005
去,1969
被,1962
但是,1945
…,1922
）,1920
吗,1915
写,1853
应该,1809
而,1771
（,1748
但,1735
把,1713
更,1702
很多,1680
来,1679
看到,1658
让,1625
没,1592
您,1554
时候,1503
那,1488
一下,1478
),1461
个,1426
感觉,1409
谢谢,1399
因为,1390
已经,1372
怎么,1371
东西,1365
又,1362
与,1359
!,1355
为,1334
(,1326
需要,1310
才,1302
给,1296
》,1267
可能,1264
下,1254
:,1249
《,1248
过,1223
这种,1210
只是,1208
不能,1207
从,1204
得,1204
喜欢,1201
这么,1197
所以,1188
博客,1182
支持,1173
这些,1156
其实,1148
一些,1131
里,1127
非常,1119
他们,1112
年,1096
太,1095
那么,1094
为什么,1079
技术,1072
一直,1067
?,1065
真的,1058
希望,1038
使用,1033
不错,1032
一样,1027
学习,1025
并,1003
它,996
理解,981
后,973
大,970
=,960
国家,960
不过,947
再,930
不会,928
还有,911
这里,910
最,887
社会,885
1,875
网站,858
公司,849
工作,839
翻译,836
比,822
比较,819
像,813
感谢,803
一种,802
时间,799
阮兄,798
@,796
确实,788
世界,786
...,785
篇文章,782
美国,780
大家,779
发现,777
最后,764
的话,764
着,756
；,750
个人,747
那个,743
人类,733
生活,732
时,722
买,718
只,716
一定,713
呵呵,711
博主,706
事情,699
出来,688
对于,680
认为,680
或者,679
如何,671
里面,669
而且,662
有点,654
虽然,654
将,653
跟,650
等,650
开始,641
只有,637
内容,636
分享,633
简单,631
一点,627
是不是,627
发展,624
真是,618
然后,615
方法,614
么,607
新,604
明白,600
那些,592
为了,592
只能,590
地方,589
不同,589
—,589
不要,587
谁,586
一,582
',581
看看,577
书,576
代码,571
关于,571
政府,569
直接,567
最近,566
实现,564
一峰,564
其他,564
自由,562
小,561
今天,557
有些,557
the,548
完,536
所有,534
完全,532
情况,532
2,527
好像,526
懂,526
作为,524
讲,522
存在,518
了解,517
请问,513
通过,512
是否,510
真,508
作者,508
结果,506
比如,506
先生,505
以前,502
这是,495
民主,490
以,488
找,488
方式,484
以后,480
当,478
观点,477
别人,475
国内,474
钱,469
经济,469
点,468
无法,467
出,465
所,464
却,462
每个,456
评论,454
之前,452
地,451
数据,449
楼主,449
或,447
前,447
当然,447
之后,443
知识,442
历史,441
多少,440
请,436
真正,435
来说,433
软件,432
一篇,431
重要,431
本书,429
思想,429
用户,429
两个,428
～,427
图片,426
函数,426
事,422
读,420
解决,420
有人,420
a,415
com,414
容易,413
话,412
出现,411
高,410
起来,409
推荐,406
意思,406
搞,406
上面,402
留言,402
to,401
找到,397
语言,397
js,396
能够,395
只要,395
系统,393
+,393
叫,390
原来,390
信息,390
人民,388
几个,387
看过,386
挺,382
文件,382
而是,379
影响,378
部分,378
哈哈,378
月,377
google,376
该,375
开发,375
之,374
价值,374
_,372
进行,372
建议,371
可,371
相信,371
例子,367
项目,366
同意,366
关注,366
你们,366
3,365
未来,364
任何,364
于,363
必须,359
可是,359
如此,359
选择,357
提供,357
一次,355
目前,355
向,354
过程,353
所谓,353
改变,352
成功,349
一句,347
能力,346
